{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0835  0.1514 -0.5000
  -4.889 -4.716  5  10  121    0.9592  0.4990  0.5000
  -4.716 -4.538  5  10  145    1.0592  0.0020 -0.5000
  -4.538 -4.363  5  10  173    1.0353 -0.1710 -0.5000
  -4.363 -4.191  5  10  205    0.9291 -0.1779  0.2378
  -4.191 -4.013  5  10  245    1.0455 -0.3279 -0.5000
  -4.013 -3.839  5  10  292    0.9409 -0.0495  0.5000
  -3.839 -3.664  5  10  348    0.9856 -0.0857  0.2176
  -3.664 -3.489  5  10  414    0.9570 -0.0401  0.5000
  -3.489 -3.314  5  10  493    0.9806 -0.0224  0.5000
  -3.314 -3.139  5  10  588    0.9709  0.0115  0.5000
  -3.139 -2.964  5  10  700    0.8343  0.1315  0.5000
  -2.964 -2.853  5  10  781    0.7684  0.0833 -0.5000
  -2.853 -2.650  5  10  956    0.7683  0.0761 -0.5000
  -2.650 -2.500  5  10 1108    0.8005  0.0921 -0.5000
  -2.500 -2.322  5  10 1321    0.9012  0.0277 -0.2281
  -2.322 -2.172  5  10 1529    0.9467  0.0311 -0.0989
  -2.172 -2.043  5  10 1733    0.9427  0.0260 -0.0193
  -2.043 -1.930  5  10 1933    0.9388  0.0283  0.0187
  -1.930 -1.830  5  10 2126    0.9350  0.0319  0.0173
  -1.830 -1.740  5  10 2315    0.9550  0.0230 -0.1905
  -1.740 -1.653  5  10 2511    0.9421  0.0369 -0.0654
  -1.653 -1.566  5  10 2721    0.9478  0.0288 -0.0669
  -1.566 -1.479  5  10 2946    0.9387  0.0126 -0.0184
  -1.479 -1.392  5  10 3183    0.9714  0.0033 -0.0947
  -1.392 -1.305  5  10 3435    0.9840  0.0399 -0.0060
  -1.305 -1.218  5  10 3699    0.9870  0.0396  0.0320
  -1.218 -1.131  5  10 3974    0.9796  0.0292  0.0572
  -1.131 -1.044  5  10 4259    0.9810  0.0168  0.0338
  -1.044 -0.957  5  10 4551    0.9875  0.0107 -0.0004
  -0.957 -0.879  5  10 4816    0.9837  0.0119  0.0552
  -0.879 -0.783  5  10 5141    0.9917  0.0060  0.0036
  -0.783 -0.696  5  10 5430    0.9965  0.0108  0.0236
  -0.696 -0.609  5  10 5708    1.0039 -0.0051 -0.0245
  -0.609 -0.522  5  10 5968    1.0098 -0.0110 -0.0551
  -0.522 -0.435  5  10 6203    1.0083 -0.0080 -0.0369
  -0.435 -0.348  5  10 6408    1.0045 -0.0023  0.0073
  -0.348 -0.261  5  10 6574    1.0116 -0.0151 -0.0398
  -0.261 -0.174  5  10 6698    1.0130 -0.0170 -0.0727
  -0.174 -0.087  5  10 6774    1.0084 -0.0051 -0.0110
  -0.087 -0.000  5  10 6800    1.0071 -0.0175 -0.0402
  +0.000 +0.087  5  10 6800    1.0071 -0.0175 -0.0402
  +0.087 +0.174  5  10 6774    1.0084 -0.0051 -0.0110
  +0.174 +0.261  5  10 6698    1.0130 -0.0170 -0.0727
  +0.261 +0.348  5  10 6574    1.0116 -0.0151 -0.0398
  +0.348 +0.435  5  10 6408    1.0045 -0.0023  0.0073
  +0.435 +0.522  5  10 6203    1.0083 -0.0080 -0.0369
  +0.522 +0.609  5  10 5968    1.0098 -0.0110 -0.0551
