{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.7247 -0.3673 -0.5000
  -4.889 -4.716  5  10  121    0.6330 -0.1946  0.4656
  -4.716 -4.538  5  10  145    0.7523  0.0624  0.5000
  -4.538 -4.363  5  10  173    0.7588 -0.0692  0.3838
  -4.363 -4.191  5  10  205    0.7440 -0.1042  0.4814
  -4.191 -4.013  5  10  245    0.8121 -0.1355  0.2662
  -4.013 -3.839  5  10  292    0.8204 -0.0506  0.5000
  -3.839 -3.664  5  10  348    0.8708 -0.0648  0.5000
  -3.664 -3.489  5  10  414    0.9107 -0.0361  0.5000
  -3.489 -3.314  5  10  493    0.9565 -0.0288  0.5000
  -3.314 -3.139  5  10  588    0.9491 -0.0068  0.5000
  -3.139 -2.964  5  10  700    0.8308  0.0993  0.5000
  -2.964 -2.853  5  10  781    0.7515  0.1084 -0.3852
  -2.853 -2.650  5  10  956    0.7040  0.1309  0.2125
  -2.650 -2.500  5  10 1108    0.7186  0.1869  0.2616
  -2.500 -2.322  5  10 1321    0.8774  0.0725  0.1576
  -2.322 -2.172  5  10 1529    0.9688  0.0090 -0.1898
  -2.172 -2.043  5  10 1733    0.9502  0.0274  0.0227
  -2.043 -1.930  5  10 1933    0.9565  0.0327  0.0272
  -1.930 -1.830  5  10 2126    0.9652  0.0423 -0.0070
  -1.830 -1.740  5  10 2315    0.9811  0.0279 -0.1125
  -1.740 -1.653  5  10 2511    0.9744  0.0376 -0.0777
  -1.653 -1.566  5  10 2721    0.9717  0.0454 -0.0257
  -1.566 -1.479  5  10 2946    0.9704  0.0156 -0.0560
  -1.479 -1.392  5  10 3183    1.0275 -0.0624 -0.3830
  -1.392 -1.305  5  10 3435    1.0191 -0.0352 -0.2006
  -1.305 -1.218  5  10 3699    1.0203 -0.0265 -0.1714
  -1.218 -1.131  5  10 3974    1.0028 -0.0103 -0.0691
  -1.131 -1.044  5  10 4259    0.9958 -0.0111 -0.0370
  -1.044 -0.957  5  10 4551    1.0061 -0.0141 -0.0602
  -0.957 -0.879  5  10 4816    1.0028 -0.0074 -0.0332
  -0.879 -0.783  5  10 5141    0.9987 -0.0005 -0.0015
  -0.783 -0.696  5  10 5430    1.0023 -0.0001  0.0121
  -0.696 -0.609  5  10 5708    1.0059 -0.0004 -0.0041
  -0.609 -0.522  5  10 5968    1.0058 -0.0060 -0.0200
  -0.522 -0.435  5  10 6203    0.9984  0.0009  0.0155
  -0.435 -0.348  5  10 6408    0.9937  0.0038  0.0434
  -0.348 -0.261  5  10 6574    1.0001  0.0048  0.0275
  -0.261 -0.174  5  10 6698    1.0013  0.0088  0.0212
  -0.174 -0.087  5  10 6774    0.9935  0.0138  0.0603
